"1059.0,""0.55, 0.524, 0.586, 0.559, 0.551, 0.528, 0.522, 0.554, 0.519, 0.59"",""0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503"",""0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8"",""[16.639], [15.386], [18.167], [17.292], [16.273], [23.544], [22.601], [17.059], [21.267], [22.17]"",""-0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0"","", "",8,"", "",41.993";;;;;;;;;
"970.0,""0.547, 0.519, 0.577, 0.535, 0.553, 0.522, 0.524, 0.552, 0.526, 0.551"",""0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503"",""0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8"",""[16.996], [19.117], [16.784], [17.512], [15.982], [19.895], [19.298], [19.823], [16.268], [19.691]"",""-0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0"","", "",4,"", "",27.079";;;;;;;;;
"1171.0,""0.594, 0.518, 0.519, 0.545, 0.545, 0.518, 0.523, 0.544, 0.522, 0.561"",""0.503, 0.503, 0.503, 0.502, 0.503, 0.502, 0.503, 0.502, 0.503, 0.502"",""0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8"",""[16.973], [24.592], [19.719], [21.411], [21.496], [25.31], [21.43], [24.254], [21.307], [27.266]"",""0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0"","", "",6,"", "",35.327";;;;;;;;;
"1008.0,""0.547, 0.522, 0.519, 0.547, 0.552, 0.524, 0.523, 0.55, 0.573, 0.55"",""0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503"",""0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8"",""[16.864], [19.401], [19.657], [16.958], [16.543], [19.978], [19.611], [19.839], [17.591], [19.086]"",""-0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0"","", "",5,"", "",28.317";;;;;;;;;
"1174.5,""0.549, 0.523, 0.52, 0.548, 0.553, 0.611, 0.524, 0.551, 0.525, 0.538"",""0.503, 0.503, 0.503, 0.503, 0.504, 0.503, 0.503, 0.503, 0.503, 0.502"",""0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8"",""[16.473], [18.326], [18.587], [16.286], [14.929], [18.364], [19.257], [18.917], [17.341], [28.804]"",""-0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0"","", "",5,"", "",33.125";;;;;;;;;
"1146.0,""0.515, 0.523, 0.519, 0.623, 0.566, 0.535, 0.524, 0.549, 0.523, 0.585"",""0.502, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.502, 0.503, 0.503"",""0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8"",""[27.31], [17.602], [23.292], [15.262], [18.983], [26.086], [20.288], [21.459], [19.979], [24.287]"",""0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"","", "",6,"", "",37.671";;;;;;;;;
"1042.0,""0.552, 0.545, 0.52, 0.552, 0.566, 0.522, 0.525, 0.547, 0.524, 0.552"",""0.503, 0.502, 0.503, 0.504, 0.504, 0.503, 0.503, 0.503, 0.503, 0.503"",""0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8"",""[20.3], [27.735], [22.493], [15.078], [14.957], [18.708], [16.878], [19.514], [19.464], [19.8]"",""0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0"","", "",7,"", "",41.749";;;;;;;;;
"1017.0,""0.548, 0.523, 0.52, 0.549, 0.545, 0.52, 0.525, 0.568, 0.521, 0.592"",""0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503, 0.502, 0.503, 0.503"",""0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8"",""[19.115], [17.022], [22.384], [17.133], [20.931], [20.968], [19.149], [22.942], [20.787], [16.217]"",""-0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0"","", "",6,"", "",45.22";;;;;;;;;
"1116.0,""0.557, 0.52, 0.597, 0.549, 0.574, 0.524, 0.526, 0.552, 0.521, 0.539"",""0.503, 0.503, 0.503, 0.504, 0.504, 0.503, 0.503, 0.503, 0.503, 0.502"",""0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8"",""[18.224], [21.104], [18.102], [15.61], [14.914], [18.963], [18.102], [18.372], [19.069], [27.205]"",""-0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0"","", "",6,"", "",33.294";;;;;;;;;
"1004.5,""0.55, 0.518, 0.515, 0.55, 0.549, 0.524, 0.524, 0.601, 0.523, 0.558"",""0.503, 0.503, 0.502, 0.504, 0.503, 0.503, 0.503, 0.503, 0.503, 0.503"",""0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8"",""[17.358], [21.66], [24.377], [15.586], [17.31], [18.59], [20.617], [15.576], [16.736], [16.67]"",""-0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0"","", "",5,"", "",39.152";;;;;;;;;
